sample_id,split_hint,source_file,crop_file,label_class,image_width,image_height,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,ocr_suggestion,ocr_suggestion_confidence,ocr_suggestion_quality,ocr_suggestion_engine,final_text,review_status,reviewer,notes
3545_104_1_jpg.rf.3f305f516835c9136d72413097d1ac04__0001,train,3545_104_1_jpg.rf.3f305f516835c9136d72413097d1ac04.jpg,crops/3545_104_1_jpg.rf.3f305f516835c9136d72413097d1ac04__0001.png,number,640,640,147,190,341,249,132,181,356,261,40081221,0.56,2.21,tesseract:gray,60081221,done,platform_admin,
2477_104_1_jpg.rf.5ffa161398c6d9517eb8bea13c82242b__0002,train,2477_104_1_jpg.rf.5ffa161398c6d9517eb8bea13c82242b.jpg,crops/2477_104_1_jpg.rf.5ffa161398c6d9517eb8bea13c82242b__0002.png,number,640,640,293,191,559,255,272,181,580,269,1645575,0.5,2.15,tesseract:gray,64507965,done,platform_admin,
2216_104_0_jpg.rf.0b1191faaecafdd2a4d30c00003864cc__0003,train,2216_104_0_jpg.rf.0b1191faaecafdd2a4d30c00003864cc.jpg,crops/2216_104_0_jpg.rf.0b1191faaecafdd2a4d30c00003864cc__0003.png,number,640,640,68,170,177,234,60,160,185,248,,,,,65115222,done,platform_admin,
6775_104_1_jpg.rf.3713dc1b980c226251f8e7c5810daeb2__0004,validation,6775_104_1_jpg.rf.3713dc1b980c226251f8e7c5810daeb2.jpg,crops/6775_104_1_jpg.rf.3713dc1b980c226251f8e7c5810daeb2__0004.png,number,640,640,151,180,369,244,134,170,386,258,6046028,0.5,2.15,tesseract:gray,60460284,done,platform_admin,
6472_104_0_jpg.rf.2bb2221c4b152125ac61ce2b2a105a30__0005,validation,6472_104_0_jpg.rf.2bb2221c4b152125ac61ce2b2a105a30.jpg,crops/6472_104_0_jpg.rf.2bb2221c4b152125ac61ce2b2a105a30__0005.png,number,640,640,396,208,618,266,379,199,635,278,62817341,0.56,2.21,tesseract:gray,62817341,done,platform_admin,
3525_104_0_jpg.rf.73471ee33b09e7821edfd59e38a6ac4c__0006,train,3525_104_0_jpg.rf.73471ee33b09e7821edfd59e38a6ac4c.jpg,crops/3525_104_0_jpg.rf.73471ee33b09e7821edfd59e38a6ac4c__0006.png,number,640,640,96,197,266,262,83,187,279,276,63790810,0.56,2.21,tesseract:gray,63790810,done,platform_admin,
26_104_1_jpg.rf.2632855e6ac02a9b9c56913b38b91214__0007,train,26_104_1_jpg.rf.2632855e6ac02a9b9c56913b38b91214.jpg,crops/26_104_1_jpg.rf.2632855e6ac02a9b9c56913b38b91214__0007.png,number,640,640,206,173,436,237,188,163,454,251,16M4246,0.5,1.3057,tesseract:gray,64424641,done,platform_admin,
3542_104_0_jpg.rf.0df66ec9ab0f91510738e2c6090c1f8d__0008,validation,3542_104_0_jpg.rf.0df66ec9ab0f91510738e2c6090c1f8d.jpg,crops/3542_104_0_jpg.rf.0df66ec9ab0f91510738e2c6090c1f8d__0008.png,number,640,640,61,174,187,237,51,164,197,250,6172052,0.56,2.21,tesseract:gray,61172052,done,platform_admin,
9664_104_0_jpeg.rf.7b87f4b02fc117594ad6c8ea2614961c__0009,train,9664_104_0_jpeg.rf.7b87f4b02fc117594ad6c8ea2614961c.jpg,crops/9664_104_0_jpeg.rf.7b87f4b02fc117594ad6c8ea2614961c__0009.png,number,640,640,189,190,412,252,172,181,429,265,40745500,0.5,2.15,tesseract:gray,62745500,done,platform_admin,
6845_104_0_jpg.rf.13787b70faaa27363c21638f152db33d__0010,validation,6845_104_0_jpg.rf.13787b70faaa27363c21638f152db33d.jpg,crops/6845_104_0_jpg.rf.13787b70faaa27363c21638f152db33d__0010.png,number,640,640,290,191,483,250,275,182,498,262,,,,,64511173,done,platform_admin,
